"Name","House","Expansion – #","Type","Rarity","Aerc Min","Aerc Max","Amber Control","Amber Control Max","Expected Amber","Expected Amber Max","Creature Protection","Creature Protection Max","Artifact Control","Artifact Control Max","Creature Control","Creature Control Max","Effective Power","Effective Power Max","Efficiency","Efficiency Max","Recursion","Recursion Max","Disruption","Disruption Max","Other","Other Max","Raw Amber","Power","Armor","Wins","Losses","SAS traits","Synergies","Traits","Text","Flavor Text"
"Berserker Slam","Brobnar","WORLDS_COLLIDE – 005","Action","Common","2.75","","0.75","","1","","0","","0","","1","","0","","0","0","","","0","","0","","1","","","11439","11552","dealsDamage – 3 – anyHouse | good – 2 – anyHouse","","","Play: Deal 4D to a flank creature. If this damage destroys that creature, its controller loses 1A.",""
"Cowfyne","Brobnar","AGE_OF_ASCENSION – 005 | WORLDS_COLLIDE – 006","Creature","Common","1.4","1.9","0","","0","","0","","0","","0.5","1","5","","0","0","","","0","","0","","0","5","","25955","28278","goodFight – 3 – anyHouse","causesFighting – 3 – anyHouse","GIANT","Before Fight: Deal 2D to each neighbor of the creature Cowfyne fights.","“Ya got beef with me?”"
"Drummernaut","Brobnar","AGE_OF_ASCENSION – 006","Creature","Common","1.5","6.300000000000001","0","","0","","0","","0","","0","","6","9","0","0","","","0","","0.5","5","0","6","","18489","18654","returns_R_ToHand – 3 – house | replays – 3 – house | good – 4 – anyHouse","goodPlay – 1 – house | card – 4 – house","GIANT","Play/Fight/Reap: Return another friendly Giant creature to your hand. ","“Ain’t nothin’, ain’t nobody, that can beat my beat.”"
"First Blood","Brobnar","AGE_OF_ASCENSION – 007","Action","Common","1","1.75","0","","1","","0","","0","","0","0.75","0","","0","0","","","0","","0","","1","","","14206","15567","damagesMultiple – 3 – anyHouse | alpha – 3 – anyHouse | dealsDamage – 3 – anyHouse | distributableDamage – 3 – anyHouse","lowCreatureCount – -3 – house | highCreatureCount – 3 – house | alpha – -3 – house","","Alpha. (You can only play this card before doing anything else this step.) Play: Deal 2D for each friendly Brobnar creature. You may divide this damage among any number of creatures.",""
"Follow the Leader","Brobnar","CALL_OF_THE_ARCHONS – 008","Action","Uncommon","0.5","1","0","","0","","0","","0","","0.5","1","0","","0","0","","","0","","0","","0","0","0","8295","8556","causesFighting – 3 – outOfHouse","highTotalCreaturePower – 3 – anyHouse | skirmish – 3 – outOfHouse","","Play: For the remainder of the turn, each friendly creature may fight.",""
"Foozle","Brobnar","AGE_OF_ASCENSION – 008","Creature","Common","1.65","2.15","0","","0.75","1.25","0","","0","","0","","5","","0","0","","","0","","0","","0","5","","16142","16693","goodReap – 3 – anyHouse","causesReaping – 2 – anyHouse | causesFighting – 1 – house | dealsDamage – 1 – house | destroys – 1 – house","GIANT","Reap: If an enemy creature has been destroyed this turn, gain 1A.",""
"Ganger Chieftain","Brobnar","CALL_OF_THE_ARCHONS – 033 | WORLDS_COLLIDE – 007 | AGE_OF_ASCENSION – 009","Creature","Common","1.4","2.4","0","","0","","0","","0","","0.5","1.5","5","","0","0","","","0","","0","","0","5","","60323","58113","causesFighting – 3 – anyHouse | goodPlay – 3 – anyHouse","skirmish – 2 – anyHouse | replays – 2 – house","GIANT","Play: You may ready and fight with a neighboring creature. ","It takes two to fight, but more is better. "
"Gron Nine-Toes","Brobnar","WORLDS_COLLIDE – 009","Creature","Common","1","1.2000000000000002","0","","0","","0","","0","","0","","6","8","0","0","","","0","","0","","0","5","","10024","11679","","damagesMultiple – 2 – anyHouse","GIANT","Gron Nine-Toes gets +4 power while it is damaged. (Gron Nine-Toes gets the power bonus only if he survives the damage.)",""
"Loot the Bodies","Brobnar","CALL_OF_THE_ARCHONS – 010","Action","Common","0.5","1.75","0","","0.5","1.75","0","","0","","0","","0","","0","0","","","0","","0","","0","0","0","23982","23646","","dealsDamage – 2 – house | destroys – 3 – house","","Play: For the remainder of the turn, gain 1<A> each time an enemy creature is destroyed.","“Loot the Bodies! Hit the Floor! Loot the Bodies! Hit the Floor!” –Brobnar War Chant"
"Gauntlet of Command","Brobnar","CALL_OF_THE_ARCHONS – 022 | AGE_OF_ASCENSION – 010","Artifact","Common","1","1.5","0","","0.5","","0","","0","","0.5","1","0","","0","0","","","0","","0","","0","","","41596","41351","usableArtifact – 3 – anyHouse | causesFighting – 3 – anyHouse","skirmish – 3 – anyHouse","ITEM","Action: Ready and fight with a friendly creature. ","“I said ‘take me to your leader’ and got a fist to the face.” – Captain Val Jericho"
"Irestaff","Brobnar","WORLDS_COLLIDE – 010","Artifact","Common","1.25","1.45","0","","1","","0","","0","","0.25","","0","2","0","0","","","0","","0","","1","","","9826","11436","usableArtifact – 3 – anyHouse | increasesCreaturePower – 2 – anyHouse","goodFight – 2 – anyHouse","WEAPON","Action: Enrage a creature. Give that creature a +1 power counter.","A weapon, or a motivational tool? It all depends on who’s holding it."
"Groggins","Brobnar","AGE_OF_ASCENSION – 011","Creature","Common","1","","0","","0","","0","","0","","0","","6","","0","0","","","0","","0","","0","8","","15493","16207","","","GIANT","When Groggins is used to fight, it can only attack flank creatures.",""
"Mogghunter","Brobnar","WORLDS_COLLIDE – 011","Creature","Common","1.25","1.5","0","","0","","0","","0","","0.25","0.5","6","","0","0","","","0","","0","","0","6","","9908","11372","dealsDamage – 2 – anyHouse | goodFight – 2 – anyHouse","causesFighting – 3 – anyHouse","GIANT","Fight: Deal 2D to a flank creature.","“The real trophy is the scar.”"
"Punch","Brobnar","CALL_OF_THE_ARCHONS – 012","Action","Common","2","","0","","1","","0","","0","","1","","0","","0","0","","","0","","0","","1","0","0","27879","25643","dealsDamage – 3 – anyHouse","","","Play: Deal 3<D> to a creature.","Three for flinching."
"Groke","Brobnar","WORLDS_COLLIDE – 008 | AGE_OF_ASCENSION – 012","Creature","Common","1.4","1.9","0.5","1","0","","0","","0","","0","","5","","0","0","","","0","","0","","0","5","","26831","29279","goodFight – 3 – anyHouse","causesFighting – 3 – anyHouse","GIANT","Fight: Your opponent loses 1A.","“Fierce as a Brutodon and about as sharp.” – Livia the Elder"
"Narp","Brobnar","WORLDS_COLLIDE – 012","Creature","Common","0.30000000000000004","0.8","0","","-0.5","","0","","0","","0","","4","9","0","0","","","0","","0","","0","8","1","9753","11402","","goodReap – -3 – anyHouse","GIANT","Narp’s neighbors cannot reap. ","“What happens when he runs out of trees?” – Sci. Officer Qincan"
"Into the Fray","Brobnar","AGE_OF_ASCENSION – 013","Action","Common","0","2","0","","0","","0","","0","","0","2","0","","0","0","","","0","","0","","0","","","13463","15576","","any – 1 – house | preventsDamage – 2 – house | skirmish – 2 – house | readies – 3 – house","","Play: For the remainder of the turn, a friendly Brobnar creature gains, “Fight: Ready this creature.”",""
"Shorty","Brobnar","WORLDS_COLLIDE – 013","Creature","Common","1.2000000000000002","2.2","0","","0","","0","","0","","0","1","8","","0","0","","","0","","0","","0","4","","9880","11612","goodFight – 3 – anyHouse","causesFighting – 3 – anyHouse","GIANT","Assault 4. (Before this creature attacks, deal 4D to the attacked enemy.) Reap: Enrage Shorty.","His name actually refers to his temper… but he is pretty short."
"Lollop the Titanic","Brobnar","AGE_OF_ASCENSION – 014","Creature","Common","1.4","","0","","0","","0","","0","","0","","10","","0","0","","","0","","0","","0","11","","17394","17850","","","LOCATION | GIANT","Lollop the Titanic deals no damage when attacked. ","“Titans are to giants as giants are to goblins.” – Dr. Schucks"
"Stilt-Kin","Brobnar","WORLDS_COLLIDE – 014","Creature","Common","0.8","1.3","0","","0","","0","","0","","0","0.5","4","","0","0","","","0","","0","","0","2","","9884","11460","skirmish – 3 – anyHouse","any – 3 – anyHouse","GOBLIN","Skirmish. (When you use this creature to fight, it is dealt no damage in return.) After a Giant creature is played adjacent to Stilt-Kin, ready and fight with Stilt-Kin.",""
"Pound","Brobnar","AGE_OF_ASCENSION – 015","Action","Common","1.75","","0","","1","","0","","0","","0.75","","0","","0","0","","","0","","0","","1","","","15775","16388","damagesMultiple – 2 – anyHouse | dealsDamage – 3 – anyHouse","","","Play: Deal 2D to a creature, with 1D splash.",""
"Tremor","Brobnar","CALL_OF_THE_ARCHONS – 016 | WORLDS_COLLIDE – 015 | AGE_OF_ASCENSION – 016","Action","Common","1.25","","0","","0","","0","","0","","1.25","","0","","0","0","","","0","","0","","0","","","46163","49370","stuns – 4 – anyHouse","","","Play: Stun a creature and each of its neighbors.",""
"Warriors’ Refrain","Brobnar","WORLDS_COLLIDE – 016","Action","Common","1","2.5","0","","0.5","1","0","","0","","0.5","1.5","0","","0","0","","","0","","0","","1","","","9868","11294","stuns – 4 – anyHouse","increasesCreaturePower – 3 – anyHouse | any – -1 – anyHouse","","Play: Stun each creature with power 3 or lower.","The Brobnar have 30 different words for “battle.” Conveniently, most of them rhyme."
"Blood Money","Brobnar","CALL_OF_THE_ARCHONS – 003 | WORLDS_COLLIDE – 017 | AGE_OF_ASCENSION – 017","Action","Uncommon","1.5","","0","","1.5","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","18334","18896","putsAmberOnTarget – 3 – anyHouse | exalt – 3 – anyHouse","","","Play: Place 2A from the common supply on an enemy creature.","“You! Æmber lover. You’re next.”"
"Unguarded Camp","Brobnar","CALL_OF_THE_ARCHONS – 017","Action","Uncommon","1.25","1.75","0.25","0.75","1","","0","","0","","0","","0","","0","0","","","0","","0","","1","0","0","9112","8867","putsAmberOnTarget – 2 – anyHouse | capturesAmber – 3 – anyHouse","highCreatureCount – 3 – anyHouse | lowCreatureCount – -3 – anyHouse","","Play: For each creature you have in excess of your opponent, a friendly creature captures 1<A>. Each creature cannot capture more than 1<A> this way.",""
"Warsong","Brobnar","CALL_OF_THE_ARCHONS – 018","Action","Common","0.25","2","0","","0.25","2","0","","0","","0","","0","","0","0","","","0","","0","","0","0","0","21709","22328","","highCreatureCount – 2 – house | lowCreatureCount – -2 – house | causesFighting – 1 – house","","Play: For the remainder of the turn, gain 1<A> each time a friendly creature fights.",""
"Blood of Titans","Brobnar","CALL_OF_THE_ARCHONS – 050 | AGE_OF_ASCENSION – 018","Upgrade","Uncommon","1.75","","0","","1","","0.75","","0","","0","","0","","0","0","","","0","","0","","1","","","16103","15288","protectsCreatures – 3 – anyHouse | increasesCreaturePower – 3 – anyHouse | protectsFromEffects – 3 – anyHouse | goodPlay – 3 – anyHouse","","","This creature gets +5 power.","“Blood of Giants? Why stop there?” – Pingle Who Annoys"
"Burn the Stockpile","Brobnar","CALL_OF_THE_ARCHONS – 005 | AGE_OF_ASCENSION – 019","Action","Uncommon","1.5","3","1.5","3","0","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","15248","14770","scalingAmberControl – 2 – anyHouse","capturesAmber – 2 – house | increasesKeyCost – 3 – anyHouse | archives – 2 – anyHouse","","Play: If your opponent has 7A or more, they lose 4A.","“If you can’t protect it, you don’t deserve it.” – Bilgum Avalanche"
"Autocannon","Brobnar","CALL_OF_THE_ARCHONS – 019","Artifact","Rare","0","1.75","0","","0","1","0","","0","","0","0.75","0","","0","0","","","0","","0","","1","0","0","2633","2647","damagesMultiple – 4 – anyHouse","highTotalArmor – 3 – anyHouse | any – -2 – anyHouse","WEAPON","Deal 1<D> to each creature after it enters play.",""
"Banner of Battle","Brobnar","CALL_OF_THE_ARCHONS – 020","Artifact","Rare","1.25","1.75","0","","0","","1.25","1.75","0","","0","","0","","0","0","","","0","","0","","0","0","0","3214","3017","protectsCreatures – 4 – anyHouse | increasesCreaturePower – 4 – anyHouse | protectsFromEffects – 4 – anyHouse","highCreatureCount – 3 – anyHouse | lowCreatureCount – -3 – anyHouse","ITEM","Each friendly creature gets +1 power.",""
"Culf the Quiet","Brobnar","AGE_OF_ASCENSION – 020","Creature","Uncommon","1.3","","0","","0","","0","","0","","0","","9","","0","0","","","0","","0","","0","6","","6046","6291","elusive – 3 – anyHouse","","GIANT","Elusive. (The first time this creature is attacked each turn, no damage is dealt.) ","“…”"
"Fyre-Breath","Brobnar","WORLDS_COLLIDE – 020","Upgrade","Uncommon","2.25","2.5","0","","1","","0.5","","0","","0.75","1","0","","0","0","","","0","","0","","1","","","3901","4103","goodFight – 3 – anyHouse | protectsCreatures – 2 – anyHouse | increasesCreaturePower – 2 – anyHouse | protectsFromEffects – 2 – anyHouse | goodPlay – 3 – anyHouse | dealsDamage – 2 – anyHouse","causesFighting – 2 – anyHouse","","This creature gets +3 power and gains, “Before Fight: Deal 2D to each neighbor of the creature this creature fights.”",""
"Cannon","Brobnar","CALL_OF_THE_ARCHONS – 021","Artifact","Uncommon","0.75","","0","","0","","0","","0","","0.75","","0","","0","0","","","0","","0","","0","0","0","8446","8671","usableArtifact – 3 – anyHouse | dealsDamage – 3 – anyHouse","","WEAPON","Action: Deal 2<D> to a creature.",""
"Flamethrower","Brobnar","WORLDS_COLLIDE – 018 | AGE_OF_ASCENSION – 021","Artifact","Uncommon","0.5","","0","","0","","0","","0","","0.5","","0","","0","0","","","0","","0","","0","","","8653","9904","damagesMultiple – 3 – anyHouse | usableArtifact – 3 – anyHouse | dealsDamage – 3 – anyHouse","","WEAPON","Action: Deal 1D to a creature, with 1D splash.","The skalds were really hot that night."
"Flamewake Shaman","Brobnar","WORLDS_COLLIDE – 019 | AGE_OF_ASCENSION – 022","Creature","Uncommon","1.3","1.5499999999999998","0","","0","","0","","0","","0.5","0.75","4","","0","0","","","0","","0","","0","4","","9656","10263","goodPlay – 3 – anyHouse | dealsDamage – 2 – anyHouse","replays – 2 – house","HUMAN","Play: Deal 2D to a creature.","There isn’t a big difference between the biggest humans and the smallest giants."
"Gravelguts","Brobnar","WORLDS_COLLIDE – 022","Creature","Uncommon","1.1","1.4","0","","0","","0","","0","","0","","7","10","0","0","","","0","","0","","0","5","","3609","4427","goodFight – 2 – anyHouse","causesFighting – 2 – anyHouse","GIANT","After an enemy creature is destroyed fighting Gravelguts, give Gravelguts two +1 power counters.",""
"Gargantes Scrapper","Brobnar","WORLDS_COLLIDE – 021 | AGE_OF_ASCENSION – 023","Creature","Uncommon","0.9500000000000001","1.2000000000000002","0","","0","","0","","0","","0.25","0.5","3","","0","0","","","0","","0","","0","3","","8920","10294","alpha – 3 – anyHouse | dealsDamage – 2 – anyHouse","alpha – -3 – house","GIANT","Alpha. (You can only play this card before doing anything else this step.) Play: If you have 3A or more, deal 3D to an enemy creature.",""
"Grump Buggy","Brobnar","AGE_OF_ASCENSION – 024","Artifact","Uncommon","0","5","0","4","0","1","0","","0","","0","","0","","0","0","","","0","","0","","1","","","7137","7031","increasesKeyCost – 4 – anyHouse | good – 2 – anyHouse","any – 1 – anyHouse | increasesCreaturePower – 2 – anyHouse","VEHICLE","Your opponent’s keys cost +1A for each friendly creature with power 5 or higher. Your keys cost +1A for each enemy creature with power 5 or higher.",""
"Mighty Javelin","Brobnar","CALL_OF_THE_ARCHONS – 024","Artifact","Uncommon","2.25","","0","","1","","0","","0","","1.25","","0","","0","0","","","0","","0","","1","0","0","10575","9673","usableArtifact – 3 – anyHouse | dealsDamage – 3 – continuous","","WEAPON","Omni: Sacrifice Mighty Javelin. Deal 4<D> to a creature.",""
"Overrun","Brobnar","WORLDS_COLLIDE – 025","Action","Uncommon","1.25","2","0.25","1","1","","0","","0","","0","","0","","0","0","","","0","","0","","1","","","3877","4416","","lowTotalCreaturePower – -3 – house | destroys – 3 – house | dealsDamage – 3 – house | causesFighting – 3 – house","","Play: If 3 or more enemy creatures have been destroyed this turn, your opponent loses 2A.",""
"Little Rapscal","Brobnar","WORLDS_COLLIDE – 023 | AGE_OF_ASCENSION – 025","Creature","Uncommon","0.6000000000000001","1.35","0","","0","","0","","0","","0","0.75","2","","0","0","","","0","","0","","0","2","","8434","9960","elusive – 3 – anyHouse","goodReap – -2 – anyHouse | goodAction – -2 – anyHouse | goodFight – 2 – anyHouse","GOBLIN","Elusive. (The first time this creature is attacked each turn, no damage is dealt.) Creatures must fight when used, if able. ","“And they said I was annoying!” – Pingle Who Annoys"
"Power of Fire","Brobnar","WORLDS_COLLIDE – 026","Action","Uncommon","0.04999999999999999","0.55","1","1.5","-0.5","","0","","0","","0","","-2","","-0.25","0","","","0","","0","","0","","","3336","4178","destroys – 3 – anyHouse | dangerousRandomPlay – 3 – anyHouse | chains – 2 – anyHouse","goodDestroyed – 3 – anyHouse | highTotalCreaturePower – 3 – house","","Play: Sacrifice a friendly creature. If you do, each player loses A equal to half that creature’s power (rounding down the loss). Gain 1 chain.",""
"Ogopogo","Brobnar","WORLDS_COLLIDE – 024 | AGE_OF_ASCENSION – 026","Creature","Uncommon","1.5","","0","","0","","0","","0","","0.5","","6","","0","0","","","0","","0","","0","6","","9742","10370","dealsDamage – 2 – anyHouse","","GIANT","After Ogopogo attacks and destroys a creature, you may deal 2D to a creature.",""
"Relentless Assault","Brobnar","CALL_OF_THE_ARCHONS – 013 | AGE_OF_ASCENSION – 027","Action","Uncommon","1.5","3.75","0","","0","1","0","","0","","1.5","2.75","0","","0","0","","","0","","0","","0","","","16763","15616","causesFighting – 4 – anyHouse | good – 2 – anyHouse","skirmish – 3 – anyHouse | lowTotalCreaturePower – -3 – anyHouse | highTotalCreaturePower – 3 – anyHouse","","Play: Ready and fight with up to 3 different friendly creatures, one at a time.",""
"Ragwarg","Brobnar","WORLDS_COLLIDE – 027","Artifact","Uncommon","0.75","1.5","0","","0.75","1","0","","0","","0","0.5","0","","0","0","","","0","","0","","1","","","3564","4237","dealsDamage – 3 – anyHouse","goodReap – -3 – anyHouse | highTotalArmor – 3 – anyHouse","ITEM","After a creature reaps, if it is the first time a creature has reaped this turn, deal 2D to it.","“Touch it. I dare you.” – Pingle Who Annoys"
"Screechbomb","Brobnar","CALL_OF_THE_ARCHONS – 026 | AGE_OF_ASCENSION – 028","Artifact","Uncommon","1.75","","1.75","","0","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","16372","15631","usableArtifact – 3 – anyHouse","","WEAPON","Omni: Sacrifice Screechbomb. Your opponent loses 2A.","“I think that thing made me deaf!” “What? I can’t hear you! I think that thing made me deaf!”"
"Shattered Throne","Brobnar","WORLDS_COLLIDE – 028","Artifact","Uncommon","1.5","2.5","1","2","1","","-0.5","","0","","0","","0","","0","0","","","0","","0","","1","","","3656","4046","goodFight – 4 – anyHouse | putsAmberOnTarget – 3 – anyHouse | capturesAmber – 3 – anyHouse","causesFighting – 3 – anyHouse | highTotalCreaturePower – 3 – anyHouse | lowTotalCreaturePower – -3 – anyHouse","LOCATION","After a creature is used to fight, it captures 1A.","A Brobnar king only lasts as long as their strength holds."
"Smith","Brobnar","CALL_OF_THE_ARCHONS – 014 | WORLDS_COLLIDE – 031 | AGE_OF_ASCENSION – 029","Action","Uncommon","1.5","2.5","0","","1.5","2.5","0","","0","","0","","0","","0","0","","","0","","0","","1","","","20612","20155","","highCreatureCount – 3 – anyHouse | lowCreatureCount – -3 – anyHouse","","Play: Gain 2A if you control more creatures than your opponent.",""
"Sköll","Brobnar","WORLDS_COLLIDE – 029","Creature","Uncommon","1.1","1.6","0","","0","","0","","0","","0","0.5","7","","0","0","","","0","","0","","0","3","","3532","4224","goodFight – 3 – anyHouse | increasesCreaturePower – 2 – anyHouse","causesFighting – 3 – anyHouse","BEAST","Assault 3. (Before this creature attacks, deal 3D to the attacked enemy.) After an enemy creature is destroyed by Sköll’s assault damage, give a friendly creature a +1 power counter.",""
"Valdr","Brobnar","CALL_OF_THE_ARCHONS – 029","Creature","Common","1","","0","","0","","0","","0","","0","","6","","0","0","","","0","","0","","0","6","0","24735","24359","","","GIANT","Valdr deals +2<D> while attacking an enemy creature on the flank.","“Gather that Æmber! And you’re welcome.”"
"Sound the Horns","Brobnar","CALL_OF_THE_ARCHONS – 015 | AGE_OF_ASCENSION – 030","Action","Uncommon","2.5","3.5","0","","1","","0","","0","","0","","0","","1.5","0","2.5","","0","","0","","1","","","17503","16404","good – 3 – anyHouse","returns_R_FromDiscard – 2 – anyHouse","","Play: Discard cards from the top of your deck until you either discard a Brobnar creature or run out of cards. If you discarded a Brobnar creature this way, put it into your hand.",""
"Bumpsy","Brobnar","CALL_OF_THE_ARCHONS – 030","Creature","Common","1.9","2.4","1","1.5","0","","0","","0","","0","","5","","0","0","","","0","","0","","0","5","0","31147","27647","goodPlay – 3 – anyHouse","replays – 3 – house","GIANT","Play: Your opponent loses 1<A>.","Whatever he doesn’t like, he breaks. He doesn’t like anything."
"Slimy Jark","Brobnar","WORLDS_COLLIDE – 030","Creature","Uncommon","0.7","","0","","0","","0","","0","","0","","3","","0","0","","","0","","0","","0","1","","3427","4134","skirmish – 3 – anyHouse | elusive – 3 – anyHouse | goodFight – 2 – anyHouse","","GOBLIN","Skirmish. Elusive.  Fight: Enrage the creature Slimy Jark fights.",""
"Earthshaker","Brobnar","CALL_OF_THE_ARCHONS – 031","Creature","Uncommon","1.6","4.1000000000000005","0","","0","","0","","0","","1","3","2","7","0","0","","","0","","0","","0","7","0","12161","11038","destroys – 3 – anyHouse | goodPlay – 3 – anyHouse | boardClear – 2 – anyHouse | good – 2 – anyHouse","any – -1 – anyHouse","GIANT","Play: Destroy each creature with power 3 or lower.","“Did you feel that?”"
"The Flex","Brobnar","AGE_OF_ASCENSION – 031 | WORLDS_COLLIDE – 032","Action","Uncommon","0","3","0","","0","3","0","","0","","0","","0","","0","0","","","0","","0","","0","","","8966","10296","","any – 1 – house | any – 2 – house | any – 3 – house | increasesCreaturePower – 1 – anyHouse","","Play: Choose a ready friendly Brobnar creature. Exhaust it and gain A equal to half its power (rounding down the gain).",""
"The Warchest","Brobnar","CALL_OF_THE_ARCHONS – 027 | AGE_OF_ASCENSION – 032","Artifact","Uncommon","0.5","2","0","","0.5","2","0","","0","","0","","0","","0","0","","","0","","0","","0","","","15081","15450","usableArtifact – 3 – anyHouse","causesFighting – 3 – house | highTotalCreaturePower – 3 – house","ITEM","Action: Gain 1A for each enemy creature that was destroyed in a fight this turn.","It doesn’t matter what the treasure is, only how it was won."
"Firespitter","Brobnar","CALL_OF_THE_ARCHONS – 032","Creature","Common","1.75","2","0","","0","","0","","0","","0.75","1","6","","0","0","","","0","","0","","0","5","1","26807","25537","damagesMultiple – 3 – anyHouse | goodFight – 3 – anyHouse","causesFighting – 2 – anyHouse","GIANT","Before Fight: Deal 1<D> to each enemy creature.","Guess how he got that name."
"Barehanded","Brobnar","CALL_OF_THE_ARCHONS – 002 | WORLDS_COLLIDE – 033 | AGE_OF_ASCENSION – 033","Action","Rare","0.75","2.5","0","","0.25","1","0","","0.25","0.75","0","","0","","0","0","","","0.25","0.75","0","","1","","","5985","5947","revealsTopDeck – 2 – anyHouse | returns_R_ToHand – 3 – anyHouse","any – -2 – anyHouse","","Play: Put each artifact on top of its owner’s deck.",""
"Bellowing Patrizate","Brobnar","WORLDS_COLLIDE – 034 | AGE_OF_ASCENSION – 034","Creature","Rare","1.1","1.85","0","","0","","0","","0","","0","0.75","7","","0","0","","","0","","0","","0","7","","3034","3344","damagesMultiple – 3 – anyHouse","highTotalArmor – 3 – anyHouse | any – -3 – anyHouse","GIANT","While Bellowing Patrizate is ready, each creature takes 1D after it enters play.","”The mountain’s answer.” – Nirbor clan term for “avalanche.” "
